"type","seq_id","item_id","main_tags","event_tags","archi_tags"
"campeur","7","4","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","7","5","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","7","6","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","7","7","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","7","8","SportsAndLeisurePlace;EquipmentRentalShop","Rental;MultiActivity;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;EquipmentRental;FreePractice",""
"campeur","7","9","CamperVanArea","",""
"campeur","7","10","CamperVanArea","",""
"campeur","7","11","CamperVanArea","",""
"campeur","7","12","HolidayResort","",""
"campeur","7","13","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","7","14","ParkAndGarden;Castle","","Contemporain"
"campeur","7","15","Museum","",""
"campeur","7","16","ParkAndGarden;NaturalHeritage","",""
"campeur","7","17","Museum","",""
"campeur","7","18","ParkAndGarden;Castle","",""
"campeur","7","19","HolidayResort","",""
"campeur","7","20","CamperVanArea","",""
"campeur","8","0","CamperVanArea","",""
"campeur","8","1","ParkAndGarden","",""
"campeur","8","2","Church","",""
"campeur","8","3","BrasserieOrTavern","",""
"campeur","8","4","CamperVanArea","",""
"campeur","8","5","CamperVanArea","",""
"campeur","8","6","CamperVanArea","",""
"campeur","8","7","NaturalHeritage","",""
"campeur","8","8","ParkAndGarden","",""
"campeur","8","9","ParkAndGarden;CityHeritage","",""
"campeur","8","10","GroupLodging","",""
"campeur","8","11","SportsAndLeisurePlace","AccompaniedPractice;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","8","12","Tower;Cloister;TechnicalHeritage;Cathedral","",""
"campeur","8","13","CamperVanArea","",""
"campeur","8","14","CamperVanArea","",""
"campeur","9","0","CamperVanArea","",""
"campeur","9","1","ParkAndGarden","",""
"campeur","9","2","NaturalHeritage","",""
"campeur","9","3","Citadel;Castle","",""
"campeur","9","4","ParkAndGarden;Chapel","","Renaissance;Gothique;Roman"
"campeur","9","5","ParkAndGarden","",""
"campeur","9","6","ParkAndGarden;Museum;Castle","",""
"campeur","9","7","NaturalHeritage","",""
"campeur","9","8","CamperVanArea","",""
"campeur","9","9","CamperVanArea","",""
"campeur","9","10","CamperVanArea","",""
"campeur","9","11","Church","",""
"campeur","9","12","ParkAndGarden","",""
"campeur","9","13","CamperVanArea","",""
"campeur","9","14","CamperVanArea","",""
"campeur","10","0","CamperVanArea","",""
"campeur","10","1","ParkAndGarden;NaturalHeritage;Castle","","Contemporain"
"campeur","10","2","Museum;TechnicalHeritage","","Renaissance;Xixe siècle"
"campeur","10","3","HolidayResort","",""
"campeur","10","4","CamperVanArea","",""
"campeur","10","5","CamperVanArea","",""
"campeur","10","6","CamperVanArea","",""
"campeur","10","7","ParkAndGarden;NaturalHeritage","",""
"campeur","10","8","RemarkableBuilding;Museum","",""
"campeur","10","9","YouthHostelAndInternationalCenter","",""
"campeur","10","10","CamperVanArea","",""
"campeur","10","11","HolidayCentre","",""
"campeur","10","12","CamperVanArea","",""
"campeur","11","0","CamperVanArea","",""
"campeur","11","1","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;Practice;Product;Course;EquipmentRental;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","11","2","BrasserieOrTavern","",""
"campeur","11","3","CamperVanArea","",""
"campeur","11","4","CamperVanArea","",""
"campeur","11","5","CamperVanArea","",""
"campeur","11","6","ParkAndGarden","",""
"campeur","11","7","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","11","8","ParkAndGarden","",""
"campeur","11","9","Ruins;Museum;RomanPath","","Gallo-romain"
"campeur","11","10","CamperVanArea","",""
"campeur","11","11","CamperVanArea","",""
"campeur","12","0","CamperVanArea","",""
"campeur","12","1","NaturalHeritage;Museum;TechnicalHeritage","",""
"campeur","12","2","ParkAndGarden;NaturalHeritage","",""
"campeur","12","3","ParkAndGarden;Museum;InterpretationCentre","",""
"campeur","12","4","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","12","5","HolidayCentre;GroupLodging","",""
"campeur","12","6","CamperVanArea","",""
"campeur","12","7","CamperVanArea","",""
"campeur","12","8","NaturalHeritage;Museum","",""
"campeur","12","9","CafeOrTeahouse;Restaurant","",""
"campeur","12","10","CulturalSite;CaveSinkholeOrAven","",""
"campeur","12","11","Ruins;CityHeritage;FortifiedSet;Museum;TechnicalHeritage;CaveSinkholeOrAven;Collegiate","",""
"campeur","12","12","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;Practice;Product;IntroductionCourse;EquipmentRental;FreePractice",""
"campeur","12","13","CamperVanArea","",""
"campeur","12","14","CamperVanArea","",""
"campeur","13","0","CamperVanArea","",""
"campeur","13","1","ParkAndGarden","",""
"campeur","13","2","CaveSinkholeOrAven;Museum","",""
"campeur","13","3","ParkAndGarden","",""
"campeur","13","4","ParkAndGarden","",""
"campeur","13","5","CamperVanArea","",""
"campeur","13","6","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","13","7","CamperVanArea","",""
"campeur","13","8","CamperVanArea","",""
"campeur","13","9","YouthHostelAndInternationalCenter","",""
"campeur","13","10","ParkAndGarden;NaturalHeritage;Castle","","Contemporain"
"campeur","13","11","Museum","",""
"campeur","13","12","CamperVanArea","",""
"campeur","13","13","CamperVanArea","",""
"campeur","14","0","CamperVanArea","",""
"campeur","14","1","CityHeritage","","Renaissance;Gothique;Xixe siècle"
"campeur","14","2","CafeOrTeahouse;Restaurant","",""
"campeur","14","3","NaturalHeritage","",""
"campeur","14","4","HolidayResort","",""
"campeur","14","5","CamperVanArea","",""
"campeur","14","6","GroupLodging","",""
"campeur","14","7","CamperVanArea","",""
"campeur","14","8","CamperVanArea","",""
"campeur","14","9","CamperVanArea","",""
"campeur","14","10","HolidayCentre","",""
"campeur","14","11","CamperVanArea","",""
"campeur","15","0","CamperVanArea","",""
"campeur","15","1","ParkAndGarden;Castle","",""
"campeur","15","2","ParkAndGarden;Tower;Castle","",""
"campeur","15","3","CamperVanArea","",""
"campeur","15","4","CamperVanArea","",""
"campeur","15","5","CamperVanArea","",""
"campeur","15","6","NaturalHeritage","",""
"campeur","15","7","Tower;Cloister;TechnicalHeritage;Cathedral","",""
"campeur","15","8","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;MultiActivity;Practice;Product;Rental;EquipmentRental;FreePractice",""
"campeur","15","9","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","15","10","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","15","11","SportsAndLeisurePlace;EquipmentRepairShop;EquipmentRentalShop","MultiActivity;Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","15","12","Restaurant","",""
"campeur","15","13","Museum","",""
"campeur","15","14","Church","","Renaissance;Médiéval"
"campeur","15","15","CamperVanArea","",""
"campeur","15","16","CamperVanArea","",""
"campeur","16","0","CamperVanArea","",""
"campeur","16","1","ParkAndGarden","",""
"campeur","16","2","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","16","3","ParkAndGarden;Castle","",""
"campeur","16","4","Church","",""
"campeur","16","5","ParkAndGarden","","Contemporain"
"campeur","16","6","ParkAndGarden","","Contemporain"
"campeur","16","7","CamperVanArea","",""
"campeur","16","8","HolidayCentre","",""
"campeur","16","9","CityHeritage","","Renaissance;Gothique;Xixe siècle"
"campeur","16","10","CamperVanArea","",""
"campeur","16","11","CamperVanArea","",""
"campeur","16","12","ParkAndGarden;TechnicalHeritage;Castle","","Contemporain;Renaissance"
"campeur","16","13","NaturalHeritage","",""
"campeur","16","14","NaturalHeritage","",""
"campeur","16","15","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","16","16","ParkAndGarden;NaturalHeritage","",""
"campeur","16","17","CamperVanArea","",""
"campeur","16","18","CamperVanArea","",""
"campeur","17","0","CamperVanArea","",""
"campeur","17","1","NaturalHeritage;Museum;IndustrialSite","",""
"campeur","17","2","NaturalHeritage;Museum;IndustrialSite","",""
"campeur","17","3","ParkAndGarden","",""
"campeur","17","4","Restaurant","",""
"campeur","17","5","GroupLodging","",""
"campeur","17","6","CamperVanArea","",""
"campeur","17","7","CamperVanArea","",""
"campeur","17","8","CamperVanArea","",""
"campeur","17","9","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","17","10","HolidayResort","",""
"campeur","17","11","ParkAndGarden","",""
"campeur","17","12","CamperVanArea","",""
"campeur","17","13","CamperVanArea","",""
"campeur","18","0","CamperVanArea","",""
"campeur","18","1","CamperVanArea","",""
"campeur","18","2","CamperVanArea","",""
"campeur","18","3","Camping","",""
"campeur","18","4","ParkAndGarden;Castle","",""
"campeur","18","5","SportsAndLeisurePlace","AccompaniedPractice;MultiActivity;Practice;Product;Course;DevelopmentCourse;IntroductionCourse",""
"campeur","18","6","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Product;Practice;Rental;EquipmentRental",""
"campeur","18","7","SportsAndLeisurePlace","AccompaniedPractice;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","18","8","Camping","",""
"campeur","18","9","Camping","",""
"campeur","19","0","CamperVanArea","",""
"campeur","19","1","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","19","2","ParkAndGarden","",""
"campeur","19","3","CamperVanArea","",""
"campeur","19","4","YouthHostelAndInternationalCenter","",""
"campeur","19","5","GroupLodging","",""
"campeur","19","6","CamperVanArea","",""
"campeur","19","7","CamperVanArea","",""
"campeur","19","8","NaturalHeritage","",""
"campeur","19","9","Castle","","Renaissance"
"campeur","19","10","CamperVanArea","",""
"campeur","19","11","GroupLodging","",""
"campeur","19","12","CamperVanArea","",""
"campeur","20","0","CamperVanArea","",""
"campeur","20","1","ParkAndGarden;PigeonLoft;Church;Castle","",""
"campeur","20","2","ParkAndGarden","",""
"campeur","20","3","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;MultiActivity;Practice;Product;Course;EquipmentRental;DevelopmentCourse;IntroductionCourse;FirstPractice;FreePractice",""
"campeur","20","4","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;Practice;Product;DevelopmentCourse;IntroductionCourse;EquipmentRental;FreePractice",""
"campeur","20","5","NaturalHeritage","",""
"campeur","20","6","CamperVanArea","",""
"campeur","20","7","GroupLodging","",""
"campeur","20","8","CamperVanArea","",""
"campeur","20","9","CamperVanArea","",""
"campeur","20","10","StopOverOrGroupLodge;GroupLodging","",""
"campeur","20","11","ParkAndGarden;Castle","",""
"campeur","20","12","YouthHostelAndInternationalCenter","",""
"campeur","20","13","CamperVanArea","",""
"campeur","20","14","CamperVanArea","",""
"campeur","21","0","CamperVanArea","",""
"campeur","21","1","ParkAndGarden;Monastery;Abbey;Cloister","",""
"campeur","21","2","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","21","3","Museum","",""
"campeur","21","4","HolidayResort","",""
"campeur","21","5","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","21","6","NaturalHeritage","",""
"campeur","21","7","NaturalHeritage","",""
"campeur","21","8","ParkAndGarden;NaturalHeritage","",""
"campeur","21","9","ParkAndGarden;Castle","",""
"campeur","21","10","CamperVanArea","",""
"campeur","21","11","CamperVanArea","",""
"campeur","21","12","CamperVanArea","",""
"campeur","21","13","CamperVanArea","",""
"campeur","21","14","CamperVanArea","",""
"campeur","22","0","CamperVanArea","",""
"campeur","22","1","SportsAndLeisurePlace","AccompaniedPractice;Practice;Product;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","22","2","ParkAndGarden;Museum;InterpretationCentre","",""
"campeur","22","3","ParkAndGarden;Citadel;Abbey;Castle;Mill;Cloister","",""
"campeur","22","4","ParkAndGarden","",""
"campeur","22","5","NaturalHeritage;Mill","",""
"campeur","22","6","ParkAndGarden","",""
"campeur","22","7","HolidayCentre;GroupLodging","",""
"campeur","22","8","CamperVanArea","",""
"campeur","22","9","CamperVanArea","",""
"campeur","22","10","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","22","11","Citadel;Castle","",""
"campeur","22","12","NaturalHeritage;Museum;TechnicalHeritage","",""
"campeur","22","13","CamperVanArea","",""
"campeur","22","14","CamperVanArea","",""
"campeur","23","0","CamperVanArea","",""
"campeur","23","1","CulturalSite;CaveSinkholeOrAven","",""
"campeur","23","2","StopOverOrGroupLodge","",""
"campeur","23","3","Church","",""
"campeur","23","4","Castle","",""
"campeur","23","5","CityHeritage;MegalithDolmenMenhir","",""
"campeur","23","6","CamperVanArea","",""
"campeur","23","7","CamperVanArea","",""
"campeur","23","8","NaturalHeritage","",""
"campeur","23","9","ParkAndGarden","",""
"campeur","23","10","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","23","11","CamperVanArea","",""
"campeur","23","12","CamperVanArea","",""
"campeur","24","0","CamperVanArea","",""
"campeur","24","1","ParkAndGarden;CityHeritage","",""
"campeur","24","2","Church","",""
"campeur","24","3","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","24","4","CamperVanArea","",""
"campeur","24","5","CamperVanArea","",""
"campeur","24","6","CamperVanArea","",""
"campeur","24","7","ParkAndGarden;Castle","","Renaissance"
"campeur","24","8","CamperVanArea","",""
"campeur","24","9","CamperVanArea","",""
"campeur","25","0","CamperVanArea","",""
"campeur","25","1","Museum;IndustrialSite","",""
"campeur","25","2","Restaurant;FastFoodRestaurant","",""
"campeur","25","3","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","25","4","NaturalHeritage;Museum;IndustrialSite","",""
"campeur","25","5","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","25","6","Church","",""
"campeur","25","7","CamperVanArea","",""
"campeur","25","8","CamperVanArea","",""
"campeur","25","9","CamperVanArea","",""
"campeur","25","10","GroupLodging","",""
"campeur","25","11","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;Practice;Product;IntroductionCourse;EquipmentRental;FreePractice",""
"campeur","25","12","ArcheologicalSite;ReligiousSite;Museum;TechnicalHeritage","","Gallo-romain"
"campeur","25","13","SportsAndLeisurePlace","AccompaniedPractice;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","25","14","GroupLodging","",""
"campeur","25","15","CamperVanArea","",""
"campeur","25","16","CamperVanArea","",""
"campeur","26","0","CamperVanArea","",""
"campeur","26","1","SportsAndLeisurePlace;EquipmentRentalShop","Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","26","2","CaveSinkholeOrAven;Museum","",""
"campeur","26","3","ParkAndGarden;PigeonLoft;Church;Castle","",""
"campeur","26","4","HolidayCentre","",""
"campeur","26","5","ParkAndGarden;Abbey;Museum","","Contemporain"
"campeur","26","6","CamperVanArea","",""
"campeur","26","7","CamperVanArea","",""
"campeur","26","8","CamperVanArea","",""
"campeur","26","9","SportsAndLeisurePlace;EquipmentRepairShop;EquipmentRentalShop","Rental;Product;EquipmentRental",""
"campeur","26","10","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","26","11","CamperVanArea","",""
"campeur","26","12","CamperVanArea","",""
"campeur","27","0","Camping","",""
"campeur","27","1","PointOfView","",""
"campeur","27","2","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;MultiActivity;Practice;Product;Course;DevelopmentCourse;Rental;EquipmentRental;FreePractice",""
"campeur","27","3","SportsAndLeisurePlace;EquipmentRentalShop","Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","27","4","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","27","5","Camping","",""
"campeur","27","6","Camping","",""
"campeur","27","7","CamperVanArea","",""
"campeur","27","8","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","27","9","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;MultiActivity;Practice;Product;Course;EquipmentRental;DevelopmentCourse;IntroductionCourse;FirstPractice;FreePractice",""
"campeur","27","10","Museum;IndustrialSite","",""
"campeur","27","11","ParkAndGarden","",""
"campeur","27","12","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","27","13","Ruins;Museum;Castle","",""
"campeur","27","14","CamperVanArea","",""
"campeur","27","15","CamperVanArea","",""
"campeur","28","0","CamperVanArea","",""
"campeur","28","1","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","28","2","ParkAndGarden","",""
"campeur","28","3","HolidayCentre","",""
"campeur","28","4","CamperVanArea","",""
"campeur","28","5","CamperVanArea","",""
"campeur","28","6","ParkAndGarden;CityHeritage","",""
"campeur","28","7","ParkAndGarden;Castle","",""
"campeur","28","8","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","28","9","Church","",""
"campeur","28","10","CamperVanArea","",""
"campeur","28","11","CamperVanArea","",""
"campeur","29","0","CamperVanArea","",""
"campeur","29","1","HolidayCentre;GroupLodging","",""
"campeur","29","2","NaturalHeritage","",""
"campeur","29","3","Museum;TechnicalHeritage","",""
"campeur","29","4","HolidayResort","",""
"campeur","29","5","Museum;TechnicalHeritage","",""
"campeur","29","6","HolidayResort","",""
"campeur","29","7","NaturalHeritage","",""
"campeur","29","8","SportsAndLeisurePlace","Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice;FreePractice",""
"campeur","29","9","ParkAndGarden","",""
"campeur","29","10","RemarkableBuilding;Museum","",""
"campeur","29","11","HolidayResort","",""
"campeur","29","12","YouthHostelAndInternationalCenter","",""
"campeur","29","13","Museum","",""
"campeur","29","14","YouthHostelAndInternationalCenter","",""
"campeur","29","15","ParkAndGarden;Castle","",""
"campeur","29","16","ParkAndGarden","","Contemporain"
"campeur","29","17","CamperVanArea","",""
"campeur","29","18","CamperVanArea","",""
"campeur","29","19","CamperVanArea","",""
"campeur","29","20","ParkAndGarden","",""
"campeur","29","21","NaturalHeritage","",""
"campeur","29","22","InterpretationCentre;Museum;TechnicalHeritage","",""
"campeur","29","23","CamperVanArea","",""
"campeur","29","24","CamperVanArea","",""
"campeur","30","0","CamperVanArea","",""
"campeur","30","1","ParkAndGarden","",""
"campeur","30","2","Museum;Castle","",""
"campeur","30","3","Restaurant","",""
"campeur","30","4","Castle","",""
"campeur","30","5","CamperVanArea","",""
"campeur","30","6","CamperVanArea","",""
"campeur","30","7","CamperVanArea","",""
"campeur","30","8","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;MultiActivity;Practice;Product;Rental;EquipmentRental;FreePractice",""
"campeur","30","9","Bridge;Ruins;CityHeritage;TechnicalHeritage;Convent;Chapel;Church","",""
"campeur","30","10","ParkAndGarden","",""
"campeur","30","11","ParkAndGarden;CityHeritage","",""
"campeur","30","12","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","30","13","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;MultiActivity;Practice;Product;Rental;EquipmentRental;FreePractice",""
"campeur","30","14","ParkAndGarden;Abbey;Museum","","Contemporain"
"campeur","30","15","CamperVanArea","",""
"campeur","30","16","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","30","17","CamperVanArea","",""
"campeur","31","0","CamperVanArea","",""
"campeur","31","1","SportsAndLeisurePlace","AccompaniedPractice;MultiActivity;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","31","2","ParkAndGarden","","Contemporain"
"campeur","31","3","GroupLodging","",""
"campeur","31","4","ParkAndGarden","",""
"campeur","31","5","HolidayCentre","",""
"campeur","31","6","CamperVanArea","",""
"campeur","31","7","CamperVanArea","",""
"campeur","31","8","CamperVanArea","",""
"campeur","31","9","CamperVanArea","",""
"campeur","32","0","CamperVanArea","",""
"campeur","32","1","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","32","2","GroupLodging","",""
"campeur","32","3","NaturalHeritage","",""
"campeur","32","4","ParkAndGarden;Castle","",""
"campeur","32","5","NaturalHeritage","",""
"campeur","32","6","Church","",""
"campeur","32","7","CamperVanArea","",""
"campeur","32","8","CamperVanArea","",""
"campeur","32","9","CamperVanArea","",""
"campeur","32","10","Museum;Castle","","Renaissance;Classique;Gothique"
"campeur","32","11","Museum","",""
"campeur","32","12","NaturalHeritage","",""
"campeur","32","13","CamperVanArea","",""
"campeur","32","14","CamperVanArea","",""
"campeur","33","0","CamperVanArea","",""
"campeur","33","1","ParkAndGarden","",""
"campeur","33","2","SportsAndLeisurePlace;EquipmentRentalShop","Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","33","3","CamperVanArea","",""
"campeur","33","4","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","33","5","CamperVanArea","",""
"campeur","33","6","CamperVanArea","",""
"campeur","33","7","SportsAndLeisurePlace","AccompaniedPractice;MultiActivity;Practice;Product;Course;DevelopmentCourse;IntroductionCourse",""
"campeur","33","8","ParkAndGarden;Museum","",""
"campeur","33","9","CamperVanArea","",""
"campeur","33","10","CamperVanArea","",""
"campeur","34","0","Camping","",""
"campeur","34","1","GroupLodging","",""
"campeur","34","2","ParkAndGarden;NaturalHeritage","",""
"campeur","34","3","ParkAndGarden","",""
"campeur","34","4","InterpretationCentre;Museum;TechnicalHeritage","",""
"campeur","34","5","ParkAndGarden;Museum;Castle","","Contemporain"
"campeur","34","6","Camping","",""
"campeur","34","7","HolidayCentre;GroupLodging","",""
"campeur","34","8","Camping","",""
"campeur","34","9","CamperVanArea","",""
"campeur","34","10","ParkAndGarden;Castle","","Contemporain;Classique"
"campeur","34","11","Castle","",""
"campeur","34","12","CamperVanArea","",""
"campeur","34","13","CamperVanArea","",""
"campeur","35","0","CamperVanArea","",""
"campeur","35","1","Castle","",""
